journey_date,train_number,seq,station_code,sched_arr,sched_dep,actual_arr,actual_dep,delay_at_dep_min,sec_congestion,sec_sr_km,sec_sr_speed,sec_fog
2026-07-25,12301,1,HWH,,2026-07-25T16:50:00+05:30,,2026-07-25T16:50:07+05:30,0.12505,,,,
2026-07-25,12301,2,ASN,2026-07-25T18:48:00+05:30,2026-07-25T18:50:00+05:30,2026-07-25T18:44:50+05:30,2026-07-25T18:54:28+05:30,4.48095,0,0,0,0
2026-07-25,12301,3,DHN,2026-07-25T19:43:00+05:30,2026-07-25T19:48:00+05:30,2026-07-25T19:43:53+05:30,2026-07-25T19:48:01+05:30,0.03177,0,0,0,0
2026-07-25,12301,4,GAYA,2026-07-25T22:03:00+05:30,2026-07-25T22:06:00+05:30,2026-07-25T21:54:43+05:30,2026-07-25T22:06:00+05:30,0.0,0,0,0,0
2026-07-25,12301,5,DDU,2026-07-26T00:35:00+05:30,2026-07-26T00:45:00+05:30,2026-07-26T00:19:23+05:30,2026-07-26T00:45:00+05:30,0.0,0,0,0,0
2026-07-25,12301,6,PRYJ,2026-07-26T02:28:00+05:30,2026-07-26T02:30:00+05:30,2026-07-26T02:25:48+05:30,2026-07-26T02:34:10+05:30,4.1734,0,0,0,0
2026-07-25,12301,7,CNB,2026-07-26T04:45:00+05:30,2026-07-26T04:50:00+05:30,2026-07-26T04:54:10+05:30,2026-07-26T05:01:11+05:30,11.18704,0,0,0,0
2026-07-25,12301,8,NDLS,2026-07-26T10:00:00+05:30,,2026-07-26T09:43:48+05:30,,,0,0,0,0
2026-07-25,12302,1,NDLS,,2026-07-25T16:55:00+05:30,,2026-07-25T16:57:45+05:30,2.7602,,,,
2026-07-25,12302,2,CNB,2026-07-25T22:00:00+05:30,2026-07-25T22:05:00+05:30,2026-07-25T21:44:13+05:30,2026-07-25T22:05:00+05:30,0.0,0,0,0,0
2026-07-25,12302,3,PRYJ,2026-07-26T00:15:00+05:30,2026-07-26T00:17:00+05:30,2026-07-26T00:07:54+05:30,2026-07-26T00:17:00+05:30,0.0,0,0,0,0
2026-07-25,12302,4,DDU,2026-07-26T02:00:00+05:30,2026-07-26T02:10:00+05:30,2026-07-26T01:56:49+05:30,2026-07-26T02:10:00+05:30,0.0,0,0,0,0
2026-07-25,12302,5,GAYA,2026-07-26T04:39:00+05:30,2026-07-26T04:42:00+05:30,2026-07-26T04:25:54+05:30,2026-07-26T04:42:00+05:30,0.0,0,0,0,0
