t_offset_sec,latitude,longitude,speed_kmh,accuracy_m
0,22.5836018,88.3426092,0.0,11
30,22.5833904,88.3426465,0.0,25
60,22.5835883,88.3427159,0.0,21
90,22.5835059,88.3425622,0.0,9
120,22.5835533,88.3425793,0.0,23
150,22.583578,88.3425653,0.0,11
180,22.5834799,88.3425284,0.0,15
210,22.5836105,88.3424785,0.0,25
240,22.5834754,88.3425092,0.0,8
270,22.583521,88.3424885,0.0,8
300,22.5834663,88.342514,0.0,18
330,22.5834754,88.3424852,0.0,21
360,22.5835408,88.3425281,0.0,25
390,22.5834794,88.3425608,0.0,16
420,22.5836325,88.3425701,0.0,14
450,22.5834766,88.3426828,0.0,23
480,22.5834134,88.3426172,0.0,23
510,22.5834336,88.3425436,0.0,19
540,22.5835739,88.3425703,0.0,12
570,22.5835957,88.3426465,0.0,15
600,22.5834856,88.3426582,0.0,13
630,22.5833923,88.3426024,0.0,18
660,22.5835811,88.3426333,0.0,9
690,22.5834086,88.3427356,0.0,8
720,22.583582,88.3426943,21.52,23
750,22.5848726,88.3416883,21.52,10
780,22.5865101,88.3403803,37.28,9
810,22.589413,88.3385713,56.95,20
840,22.5930759,88.3358305,71.39,9
870,22.5977498,88.3326635,88.75,23
900,22.6031194,88.3285745,103.23,24
930,22.6092102,88.3241726,105.45,24
960,22.6154342,88.3198563,105.45,13
990,22.621639,88.3155195,105.45,8
1020,22.6278825,88.3110656,105.45,16
1050,22.6339918,88.3067691,105.45,20
1080,22.6400532,88.3023503,105.45,8
1110,22.6463046,88.2979377,105.45,10
1140,22.6524163,88.2937555,105.45,25
1170,22.658677,88.2892709,105.45,16
1200,22.6646535,88.2850763,105.45,22
1230,22.6710053,88.2805888,105.45,16
1260,22.676964,88.2761945,105.45,25
1290,22.6830985,88.2717584,105.45,11
1320,22.6894576,88.2675777,105.45,25
1350,22.6956225,88.263092,105.45,22
1380,22.7018259,88.2587144,105.45,15
1410,22.7079318,88.2544565,105.45,22
1440,22.7140735,88.2500634,105.45,8
1470,22.7201819,88.2455026,105.45,20
1500,22.7263849,88.2413435,105.45,15
1530,22.732592,88.2367994,105.45,19
1560,22.7386777,88.2323075,105.45,16
1590,22.7447676,88.2279576,105.45,18
1620,22.7508833,88.2238284,105.45,23
1650,22.7571096,88.2192459,105.45,16
1680,22.7632364,88.2150259,105.45,14
1710,22.7694838,88.210492,105.45,15
1740,22.7757467,88.2061199,105.45,14
1770,22.7818986,88.2019297,105.45,19
1800,22.7878778,88.1973423,105.45,10
1830,22.7941801,88.1931308,105.45,8
1860,22.8003661,88.188721,105.45,9
1890,22.8065508,88.184297,105.45,18
1920,22.8126171,88.1801024,105.45,16
1950,22.8187789,88.1757279,105.45,24
1980,22.8248843,88.1711308,105.45,12
2010,22.8309855,88.1669254,105.45,23
2040,22.8373863,88.162327,105.45,19
2070,22.8434014,88.158144,105.45,13
2100,22.8495806,88.1536043,105.45,24
2130,22.8557436,88.1493965,105.45,8
2160,22.8619634,88.1449317,105.45,11
2190,22.8680316,88.1406257,105.45,16
2220,22.8741565,88.1361492,105.45,16
2250,22.8803952,88.1318774,105.45,19
2280,22.8864799,88.1274479,105.45,21
2310,22.8927814,88.1230586,105.45,20
2340,22.8988301,88.1186281,105.45,12
2370,22.9051808,88.114402,105.45,11
2400,22.9112733,88.1100624,105.45,25
2430,22.9173577,88.1055643,105.45,12
2460,22.923619,88.1012948,105.45,23
2490,22.9297826,88.0967562,105.45,23
2520,22.9357639,88.0925917,105.45,24
2550,22.9420337,88.0880485,105.45,23
2580,22.9481329,88.0837464,105.45,9
2610,22.9543215,88.0794098,105.45,9
2640,22.9604344,88.0749079,105.45,11
2670,22.9666597,88.0705573,105.45,19
2700,22.9727978,88.0662483,105.45,16
2730,22.9789556,88.0618315,105.45,19
2760,22.9852587,88.0576187,105.45,14
2790,22.9913426,88.0531528,105.45,25
2820,22.9973963,88.0488168,105.45,19
2850,23.0035991,88.0443636,105.45,22
2880,23.0099134,88.0399515,105.45,17
2910,23.0159608,88.0357458,105.45,13
2940,23.0221706,88.0313634,105.45,21
2970,23.0283302,88.0268847,105.45,10
3000,23.0343436,88.0224438,105.45,18
3030,23.0405698,88.0180543,105.45,16
3060,23.0468098,88.0137106,105.45,22
3090,23.0530192,88.0094955,105.45,24
3120,23.0592311,88.0049676,105.45,13
3150,23.0653633,88.0005088,105.45,15
3180,23.0714737,87.9963734,105.45,10
3210,23.0775142,87.9918401,105.45,11
3240,23.0836368,87.987607,105.45,25
3270,23.0897962,87.9832012,105.45,24
3300,23.0961501,87.9786255,105.45,16
3330,23.1022726,87.9742517,105.45,20
3360,23.1083516,87.9699252,105.45,17
3390,23.1145498,87.9655156,105.45,24
3420,23.1208185,87.9611127,105.45,19
3450,23.1269866,87.9568255,105.45,23
3480,23.1330428,87.9526112,105.45,16
3510,23.1392269,87.9480214,105.45,25
3540,23.1452889,87.9437827,105.45,21
3570,23.1515444,87.9394208,105.45,17
3600,23.1578105,87.9350003,105.45,15
3630,23.1639446,87.9306145,105.45,19
3660,23.1700009,87.9261564,105.45,8
3690,23.176052,87.9219756,105.45,12
3720,23.1809192,87.9184849,52.72,8
3750,23.184093,87.9163045,52.72,23
3780,23.1870695,87.9141977,52.72,17
3810,23.1902307,87.9120197,52.72,25
3840,23.1932516,87.9097197,52.72,25
3870,23.1963498,87.9074851,52.72,20
3900,23.1995363,87.9052895,52.72,10
3930,23.2025079,87.9031079,52.72,16
3960,23.2055519,87.9010684,52.72,16
3990,23.2086676,87.8989137,52.72,13
4020,23.2116742,87.8965087,52.72,22
4050,23.2148849,87.8943691,52.72,23
4080,23.2178501,87.8921079,52.72,9
4110,23.2211419,87.8899216,52.72,11
4140,23.2240377,87.8877646,52.72,22
4170,23.2272387,87.8856092,52.72,12
4200,23.2301278,87.8834175,52.72,21
4230,23.2332889,87.8814011,52.72,19
4260,23.236411,87.8792117,52.72,18
4290,23.2393887,87.8770126,52.72,12
4320,23.2424633,87.8748329,52.72,10
4350,23.2456757,87.8724715,52.72,16
4380,23.2488306,87.8704741,52.72,11
4410,23.2510036,87.8671079,52.72,20
4440,23.2526526,87.8631806,52.72,9
4470,23.2542021,87.8594188,52.72,11
4500,23.2559926,87.8556437,52.72,23
4530,23.2576608,87.85179,52.72,18
4560,23.2593024,87.8478741,52.72,25
4590,23.2611038,87.8438872,52.72,17
4620,23.2627207,87.8402257,52.72,14
4650,23.2646332,87.836187,52.72,21
4680,23.2661621,87.8323194,52.72,16
4710,23.267936,87.8285388,52.72,15
4740,23.2694846,87.8245875,52.72,23
4770,23.2713714,87.8207731,52.72,10
4800,23.2729567,87.8170267,52.72,18
4830,23.2748443,87.813325,52.72,9
4860,23.2763133,87.809374,52.72,25
4890,23.2782142,87.8053743,52.72,15
4920,23.27979,87.8016536,52.72,19
4950,23.2816255,87.797771,52.72,14
4980,23.2831179,87.7939055,52.72,12
5010,23.2848835,87.7899587,52.72,22
5040,23.2866703,87.7862588,52.72,23
5070,23.2882745,87.7823068,52.72,19
5100,23.2915985,87.7749646,105.45,25
5130,23.294962,87.7672879,105.45,22
5160,23.2984059,87.7595142,105.45,19
5190,23.3018561,87.7519695,105.45,24
5220,23.3052434,87.7441011,105.45,8
5250,23.3087157,87.7364584,105.45,15
5280,23.3120426,87.7286751,105.45,25
5310,23.3155844,87.7210171,105.45,23
5340,23.3189776,87.7133115,105.45,17
5370,23.3222656,87.7057592,105.45,11
5400,23.3256121,87.6980694,105.45,9
5430,23.3292188,87.690219,105.45,9
5460,23.3324556,87.6826283,105.45,11
5490,23.3358172,87.6749791,105.45,20
5520,23.3393935,87.6672499,105.45,16
5550,23.3426369,87.6594653,105.45,10
5580,23.3460347,87.6519757,105.45,23
5610,23.3496888,87.6442545,105.45,22
5640,23.353062,87.636333,105.45,25
5670,23.356454,87.6288814,105.45,19
5700,23.3598752,87.6209421,105.45,16
5730,23.3632112,87.6134454,105.45,17
5760,23.3664971,87.6055981,105.45,24
5790,23.3699098,87.5980525,105.45,25
5820,23.3733949,87.5902012,105.45,15
5850,23.3768522,87.5827276,105.45,25
5880,23.380308,87.5748762,105.45,11
5910,23.3837201,87.5672285,105.45,22
5940,23.3871104,87.5594895,105.45,11
5970,23.3903735,87.5517219,105.45,20
6000,23.3938721,87.5441669,105.45,25
6030,23.3974126,87.5364088,105.45,19
6060,23.4007943,87.5287452,105.45,18
6090,23.4041862,87.5210096,105.45,21
6120,23.4075887,87.5132884,105.45,15
6150,23.4109253,87.5055611,105.45,25
6180,23.4144306,87.4978778,105.45,22
6210,23.4177091,87.4902247,105.45,9
6240,23.4212609,87.482588,105.45,24
6270,23.4244399,87.4749794,105.45,8
6300,23.4278919,87.4670879,105.45,18
6330,23.4312243,87.4595691,105.45,16
6360,23.4348737,87.4517827,105.45,12
